Date,USD,EUR,GBP,NZD,AUD
2015-10-07,0.4151262912914122,0.19596052986861068,-0.061134438628407395,3.9788951926213123,2.5283595611189202
2015-10-08,-0.5745179502625319,-0.3231338032777531,-0.5086400956810011,3.1098266952240605,1.6091211822943263
2015-10-09,-0.15485555601713052,1.309978327698813,0.4622606242537852,4.172685652969643,3.355675665892166
2015-10-12,0.8476734922198581,2.7456751262438184,1.6698862152690452,7.049054791804954,6.239030292643721
2015-10-13,0.5066054064614134,2.268136390197073,0.9012351926817708,7.524779018604577,6.286968851113972
2015-10-14,-0.27982324518466273,1.322829081147825,-1.186203198951996,4.065125754064303,2.4206603863382803
2015-10-15,-1.1760412622099925,1.1077440029868324,-0.39377386858919783,7.472302676906217,3.9941235614930237
2015-10-16,-1.307809449522701,-0.5774140879083567,-1.1273384782462315,6.914934063552769,2.2360214349055108
2015-10-19,-1.2832213262766623,-1.1167874301437064,-1.340195180647008,6.102476280433855,0.9421928051459361
2015-10-20,-0.6973045955244506,-0.5364066038524906,-0.3906411223838946,6.623481378032214,0.6103444820234172
2015-10-21,-0.5024944761346517,0.2284601319302082,0.14561561854506966,5.884511592028496,1.4782491056850366
2015-10-22,-0.5608257116609616,-0.08009757014199037,-1.1646403071438383,5.178226410237707,-0.36880771166258874
2015-10-23,0.6804205408900366,-2.1380473519590937,-0.5130178409792463,7.340131911600789,0.9864628427614708
2015-10-26,1.0950024922688817,-1.2981322251082839,-0.2631043163183744,6.933356750224573,1.5479688851239848
2015-10-27,0.3850883712530839,-0.7685597646200137,-0.6074735977980028,7.607559305184686,2.067521472659628
2015-10-28,0.3172566580824876,-0.4791849366182155,0.054782099007710805,8.122536550964622,2.0475667100403383
2015-10-29,0.5481588548825966,-1.8108109886882717,0.6956239849291945,6.774272285190364,1.8650507117278892
2015-10-30,0.6419237462747862,-1.0902053432827685,1.2190986146072946,6.576619964447028,1.7660875749300198
2015-11-02,0.13294861997343865,-1.4613492777127313,1.7054745138022964,6.294792115662928,1.7355931052369655
